This file was generated by QKinz.


Protons:
Number_of_entries: 35
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1164.762472     0.107457     8543.632135     1.170320     9708.394607
109.894000     1174.518617     0.109883     8438.330619     1.175369     9612.849235
197.143000     1182.402153     0.111871     8354.611218     1.179471     9537.013370
1345.670000     1299.261548     0.144333     7241.273317     1.242673     8540.534865
1458.700000     1312.279973     0.148313     7130.375982     1.250007     8442.655954
1554.038000     1323.505880     0.151805     7036.618587     1.256381     8360.124467
2779.849000     1491.880173     0.211459     5809.357836     1.357913     7301.238010
3908.170000     1703.230497     0.308397     4627.214949     1.503650     6330.445446
3998.700000     1723.595429     0.319224     4529.125406     1.518945     6252.720835
4032.500000     1731.360337     0.323428     4492.347851     1.524841     6223.708188
4377.700000     1816.204194     0.372162     4111.395524     1.591660     5927.599718
4549.900000     1862.778178     0.401218     3917.244952     1.630322     5780.023130
4556.100000     1864.514271     0.402335     3910.197078     1.631792     5774.711349
4648.000000     1890.761962     0.419511     3805.228567     1.654276     5695.990529
4682.500000     1900.872486     0.426279     3765.572122     1.663069     5666.444608
5106.600000     2038.399420     0.527349     3265.130999     1.790582     5303.530420
5337.000000     2125.593527     0.601018     2980.994290     1.879946     5106.587817
5418.000000     2158.846810     0.631303     2878.538487     1.915995     5037.385297
5463.500000     2178.193583     0.649514     2820.326534     1.937504     4998.520117
5500.700000     2194.389162     0.665106     2772.359611     1.955824     4966.748773
5535.000000     2209.636651     0.680079     2727.820851     1.973339     4937.457502
5621.000000     2249.274623     0.720389     2614.754847     2.020138     4864.029470
5938.000000     2416.293649     0.914843     2177.238209     2.240018     4593.531858
6070.000000     2498.248522     1.027223     1982.717423     2.363751     4480.965945
6088.000000     2510.135908     1.044594     1955.483129     2.382708     4465.619037
6160.600000     2560.051628     1.120763     1843.675205     2.465368     4403.726832
6282.000000     2651.609145     1.275417     1648.646968     2.631230     4300.256113
6330.000000     2691.107232     1.348865     1568.245704     2.709237     4259.352935
6496.700000     2847.312183     1.688337     1270.018700     3.065136     4117.330883
6500.000000     2850.767543     1.696878     1263.752322     3.074012     4114.519864
6527.500000     2880.227946     1.771806     1210.867398     3.151746     4091.095344
6554.000000     2909.817980     1.851086     1158.705695     3.233756     4068.523674
6592.000000     2954.547264     1.979342     1081.611212     3.365972     4036.158476
6787.000000     3248.978207     3.211422     621.123446     4.619252     3870.101653
6838.400000     3359.627802     4.000084     466.709315     5.413758     3826.337117
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.014140. a0 = 11.371231MeV. a1 = -1.193229. a2 = 0.002264(MeV)^-1



