This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     787.388779     2.562771     14786.922502     65.454997     15574.311280
134.243000     792.842039     2.606381     14648.694630     65.562495     15441.536669
206.244000     795.802869     2.630253     14574.519378     65.621006     15370.322248
303.130000     799.827439     2.662922     14474.666115     65.700703     15274.493554
511.766000     808.655321     2.735473     14259.474462     65.876192     15068.129783
581.990000     811.677431     2.760594     14186.991679     65.936482     14998.669110
589.136000     811.986422     2.763170     14179.614322     65.942652     14991.600744
618.362000     813.252970     2.773747     14149.439198     65.967957     14962.692168
625.513000     813.563562     2.776345     14142.055253     65.974165     14955.618815
647.230000     814.508482     2.784257     14119.629089     65.993060     14934.137571
685.775000     816.191846     2.798388     14079.818978     66.026747     14896.010824
718.730000     817.637454     2.810560     14045.775775     66.055704     14863.413229
767.800000     819.800941     2.828838     13995.074133     66.099089     14814.875074
772.900000     820.026557     2.830748     13989.803770     66.103616     14809.830327
816.564000     821.964060     2.847187     13944.675145     66.142523     14766.639205
826.790000     822.419345     2.851059     13934.104559     66.151672     14756.523905
844.860000     823.225288     2.857921     13915.424187     66.167873     14738.649476
864.640000     824.109591     2.865462     13894.973899     66.185660     14719.083490
879.459000     824.773540     2.871132     13879.651243     66.199020     14704.424783
933.620000     827.210700     2.892007     13823.638605     66.248109     14650.849305
960.180000     828.411944     2.902331     13796.164306     66.272331     14624.576250
969.300000     828.825349     2.905889     13786.729402     66.280671     14615.554751
1000.930000     830.262816     2.918283     13754.003440     66.309687     14584.266256
1003.140000     830.363467     2.919152     13751.716643     66.311720     14582.080110
1190.470000     838.998851     2.994329     13557.770000     66.486580     14396.768851
1220.910000     840.421699     3.006832     13526.234560     66.515480     14366.656259
1230.110000     840.852830     3.010627     13516.702347     66.524242     14357.555177
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003104. a0 = 15.638320MeV. a1 = -0.993515. a2 = -0.000701(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1909.925352     11.904918     8347.586089     85.799734     10257.511441
59.010000     1919.353029     12.064376     8279.987257     86.042073     10199.340286
99.361000     1925.866742     12.175428     8233.693595     86.210246     10159.560337
146.274000     1933.509413     12.306649     8179.799196     86.408341     10113.308609
149.000000     1933.955838     12.314345     8176.665108     86.419938     10110.620946
173.929000     1938.050314     12.385088     8147.991763     86.526437     10086.042077
210.699000     1944.129300     12.490652     8105.657715     86.685001     10049.787015
268.798000     1953.832299     12.660471     8038.665658     86.939208     9992.497956
273.627000     1954.644238     12.674756     8033.091832     86.960542     9987.736070
314.009000     1961.467194     12.795247     7986.446857     87.140201     9947.914051
316.463000     1961.883746     12.802629     7983.610263     87.151192     9945.494009
317.845000     1962.118430     12.806790     7982.012699     87.157385     9944.131129
322.379000     1962.888862     12.820455     7976.770976     87.177722     9939.659838
330.000000     1964.185556     12.843479     7967.958622     87.211971     9932.144179
351.202000     1967.804339     12.907888     7943.430477     87.307684     9911.234817
378.392000     1972.469693     12.991265     7911.949489     87.431363     9884.419182
417.792000     1979.279531     13.113657     7866.280276     87.612475     9845.559807
420.559000     1979.759993     13.122324     7863.070698     87.625279     9842.830691
425.823000     1980.674844     13.138836     7856.963889     87.649670     9837.638733
462.969000     1987.160882     13.256334     7813.839086     87.822952     9800.999968
469.779000     1988.355764     13.278062     7805.926979     87.854943     9794.282744
470.514000     1988.484835     13.280411     7805.072918     87.858400     9793.557753
471.000000     1988.570192     13.281964     7804.508179     87.860687     9793.078371
497.293000     1993.201807     13.366444     7773.941083     87.984912     9767.142890
500.722000     1993.807839     13.377526     7769.952603     88.001191     9763.760442
534.370000     1999.779364     13.487079     7730.788957     88.161889     9730.568321
549.330000     2002.448800     13.536260     7713.361668     88.233901     9715.810467
559.976000     2004.353921     13.571437     7700.954196     88.285362     9705.308118
562.000000     2004.716636     13.578142     7698.594773     88.295165     9703.311409
577.723000     2007.539945     13.630413     7680.260263     88.371545     9687.800208
588.709000     2009.518601     13.667133     7667.443374     88.425147     9676.961975
601.580000     2011.843018     13.710359     7652.420846     88.488193     9664.263865
623.890000     2015.888149     13.785819     7626.364799     88.598108     9642.252948
646.332000     2019.977958     13.862416     7600.133074     88.709494     9620.111033
657.990000     2022.110773     13.902483     7586.497840     88.767684     9608.608613
665.188000     2023.430476     13.927316     7578.076092     88.803726     9601.506568
680.030000     2026.158526     13.978751     7560.703644     88.878315     9586.862170
686.058000     2027.269163     13.999731     7553.645165     88.908715     9580.914328
691.340000     2028.243615     14.018157     7547.458903     88.935403     9575.702519
736.127000     2036.553968     14.176006     7494.954952     89.163610     9531.508920
744.810000     2038.175096     14.206948     7484.765502     89.208253     9522.940598
761.420000     2041.285314     14.266446     7465.264321     89.294020     9506.549635
785.310000     2045.779823     14.352744     7437.194077     89.418229     9482.973900
796.630000     2047.918251     14.393936     7423.884239     89.477439     9471.802490
818.940000     2052.149380     14.475690     7397.635351     89.594807     9449.784732
821.310000     2052.600156     14.484420     7394.845573     89.607328     9447.445729
826.152000     2053.521888     14.502282     7389.145141     89.632940     9442.667029
855.040000     2059.042929     14.609607     7355.112961     89.786640     9414.155890
864.170000     2060.795679     14.643799     7344.349031     89.835537     9405.144710
997.840000     2086.898297     15.159902     7186.300032     90.569609     9273.198329
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.000128. a0 = 10.247876MeV. a1 = -0.981076. a2 = -0.001767(MeV)^-1



Tritons:
Number_of_entries: 18
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     2648.003591     18.827294     7486.166013     98.732368     10134.169604
125.358100     2677.387248     19.426646     7333.815656     99.554701     10011.202904
284.100000     2715.845440     20.232621     7139.605079     100.649441     9855.450519
368.200000     2736.815255     20.682583     7036.100875     101.255382     9772.916130
475.600000     2764.224092     21.282103     6903.272400     102.057205     9667.496493
546.900000     2782.824894     21.696433     6814.674215     102.607810     9597.499109
646.119000     2809.269001     22.296047     6690.807263     103.399743     9500.076264
697.000000     2823.091070     22.614470     6627.017655     103.818027     9450.108725
717.432000     2828.692632     22.744505     6601.349424     103.988402     9430.042056
757.400000     2839.736242     23.002558     6551.049969     104.325767     9390.786212
768.930000     2842.943531     23.077923     6536.517508     104.424111     9379.461039
874.815000     2872.857045     23.790057     6402.586901     105.349381     9275.443946
880.282000     2874.424465     23.827835     6395.648273     105.398268     9270.072739
931.060000     2889.093217     24.183645     6331.088147     105.857755     9220.181363
949.500000     2894.470102     24.315097     6307.591840     106.027082     9202.061942
1000.000000     2909.334162     24.681386     6243.101859     106.497711     9152.436021
1230.400000     2979.862354     26.478706     5946.087378     108.782876     8925.949732
1277.000000     2994.698840     26.869587     5885.427144     109.274857     8880.125984
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.000031. a0 = 10.161523MeV. a1 = -0.984043. a2 = -0.001849(MeV)^-1



